iter	Passed	Remaining
0	24	2412
1	45	2240
2	66	2149
3	85	2060
4	105	2009
5	125	1958
6	145	1929
7	167	1925
8	188	1903
9	208	1877
10	234	1900
11	257	1887
12	277	1857
13	297	1825
14	315	1785
15	335	1759
16	353	1728
17	373	1700
18	393	1676
19	415	1661
20	436	1642
21	456	1617
22	475	1591
23	494	1566
24	513	1540
25	532	1515
26	551	1490
27	571	1468
28	593	1453
29	616	1438
30	636	1416
31	655	1392
32	674	1368
33	694	1348
34	714	1327
35	734	1306
36	754	1284
37	774	1263
38	796	1246
39	819	1228
40	838	1207
41	858	1184
42	879	1166
43	898	1143
44	917	1120
45	937	1100
46	956	1078
47	975	1056
48	997	1038
49	1021	1021
50	1042	1001
51	1064	982
52	1086	963
53	1106	942
54	1126	921
55	1145	900
56	1165	879
57	1187	859
58	1209	840
59	1230	820
60	1251	799
61	1270	778
62	1289	757
63	1308	736
64	1327	714
65	1346	693
66	1370	674
67	1392	655
68	1413	635
69	1434	614
70	1453	593
71	1474	573
72	1493	552
73	1512	531
74	1534	511
75	1556	491
76	1583	473
77	1604	452
78	1625	432
79	1646	411
80	1666	390
81	1687	370
82	1709	350
83	1724	328
84	1748	308
85	1770	288
86	1790	267
87	1811	247
88	1830	226
89	1852	205
90	1873	185
91	1891	164
92	1910	143
93	1931	123
94	1955	102
95	1979	82
96	2000	61
97	2023	41
98	2042	20
99	2064	0
